drg_cd,drg_desc,unweighted_ratio,estimated_total_charges,estimated_total_medicare_payments,total_discharges,weighted_ratio,difference,unweighted_rank,weighted_rank,rank_change
987,NON-EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH MCC,5.918956311524653,367335040.999593,60795877.000011,1872,6.042104483491974,-0.12314817196732086,313.0,280.0,33.0
082,TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC,6.024548865230764,895577297.000143,148309035.000163,7321,6.038588930196727,-0.014040064965962884,292.0,281.0,11.0
455,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITHOUT CC/MCC,6.158483106062919,2153107038.997734,357115009.00002503,10551,6.029169832505088,0.1293132735578304,268.0,282.0,-14.0
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,6.132331092984861,2530634888.998121,420457973.9998637,49661,6.01875822433312,0.11357286865174121,274.0,283.0,-9.0
562,"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITH MCC",6.0697544276601745,95653780.999869,15901907.9999721,1309,6.015239240475849,0.05451518718432524,289.0,284.0,5.0
554,BONE DISEASES AND ARTHROPATHIES WITHOUT MCC,5.91118908408984,139552518.999878,23212253.9999878,3500,6.012019298080718,-0.10083021399087766,315.0,285.0,30.0
834,ACUTE LEUKEMIA WITH MCC,5.751179752207324,843906252.00086,140374968.999898,2220,6.011800095225476,-0.26062034301815284,342.0,286.0,56.0
460,SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC,6.363232089706443,3015398766.000288,502275133.0000694,18008,6.003480100616232,0.3597519890902108,233.0,287.0,-54.0
329,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC,6.125883071263718,5395687127.999427,900682010.00035,24579,5.990668258153985,0.13521481310973282,277.0,288.0,-11.0
659,KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH MCC,5.717260882126286,552529191.999642,92265550.999996,4378,5.988466833083411,-0.27120595095712474,348.0,289.0,59.0
699,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH CC,5.967400696707944,1556557470.9987354,260426141.9998675,31564,5.976963215158052,-0.009562518450107582,302.0,290.0,12.0
907,OTHER O.R. PROCEDURES FOR INJURIES WITH MCC,5.993880179870614,689882876.000786,115565472.999978,3322,5.969627935507322,0.024252244363291986,298.0,291.0,7.0
521,HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITH MCC,5.98868707542859,1022845823.000987,171438296.999932,7531,5.966262153207184,0.022424922221405907,299.0,292.0,7.0
441,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH MCC",5.822186436659451,750655199.999194,125832998.000037,7597,5.965487685503395,-0.1433012488439438,331.0,293.0,38.0
242,PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC,6.128136732553785,1563671884.000931,262682522.00006,9743,5.952706225352039,0.1754305072017459,275.0,294.0,-19.0
827,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDUR,6.295777522037238,60873027.000053,10245311.000003,407,5.941549944168134,0.3542275778691035,245.0,295.0,-50.0
492,"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH MCC",6.0007110505010495,210254219.999613,35470105.000033,1225,5.9276458301834,0.07306522031764917,296.0,296.0,0.0
371,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH MCC,5.894480583628258,443823525.999736,75004447.999838,5401,5.917296078236515,-0.022815494608257048,318.0,297.0,21.0
239,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC,5.667992550513685,359364508.999967,60764843.000015,1489,5.914020200790748,-0.24602765027706308,359.0,298.0,61.0
459,SPINAL FUSION EXCEPT CERVICAL WITH MCC,6.291952070029132,133663707.00022,22605158.000104,388,5.912973800032942,0.3789782699961899,249.0,299.0,-50.0
908,OTHER O.R. PROCEDURES FOR INJURIES WITH CC,5.944429504757029,241113424.999789,40778543.00002,2346,5.912752326626058,0.031677178130970596,307.0,300.0,7.0
564,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH MCC,5.823977091858202,60291684.999845,10198075.9999882,715,5.912064687487597,-0.0880875956293945,330.0,301.0,29.0
856,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURES WITH MCC,5.804363313203581,626742455.998694,106106704.000061,2662,5.906718730970416,-0.10235541776683554,333.0,302.0,31.0
